row,produto,ean,preco_7_dias,preco_14_dias,preco_21_dias,preco_28_dias,status,revisao_visual,observacao,source,source_page,image_url,title_found,optimized_path,optimized_bytes,original_width,original_height,processed_at
281,ASSARAPIDO PRATSY 45CMX4M P/CHURRAS,7896300501100,7.29,7.33,7.41,7.46,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:www.sondadelivery.com.br,https://www.sondadelivery.com.br/vilario/produto/filme-pvc-para-churrasco-45cmx4m-pratsy-45cm/1000018398?srsltid=AfmBOookLVzWyAGlWh43yck4jgbYuvyrpaT9BPSiFZ8c4zCDyKkRQXva,https://www.sondadelivery.com.br/Arquivos/ProdutosSku/1210521/1210521.jpg,Filme Pratsy para Churrasco 45x4 m,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896300501100.webp,11948,602,530,2026-07-06T21:05:58
282,ASSARAPIDO PRATSY COZ.10UN 41X31CM,7896300500233,6.15,6.18,6.25,6.3,REVISAR_SERPER,PENDENTE,Imagem encontrada via Serper; revisar visualmente antes de aprovar. score=216 flags=quantidade_nao_confirmada,serper:cosmos.bluesoft.com.br,https://cosmos.bluesoft.com.br/produtos/7896300500233-assa-pratsy-31x41-cm,https://cdn-cosmos.bluesoft.com.br/products/7896300500233,ASSA PRATSY 31X41 CM - GTIN/EAN/UPC 7896300500233 - Cadastro de Produto com  Tributação e NCM - Cosmos,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896300500233.webp,39960,557,700,2026-07-06T21:05:58
283,ASSARAPIDO WYDA 45CMX5MT P/CHURRASC,7898930672618,7.53,7.57,7.66,7.71,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7898930672618.webp,16012,,,2026-07-06T19:07:00
284,ASSARAPIDO WYDA COZ.10UN 41X33CM,7898930672625,7.03,7.07,7.15,7.2,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7898930672625.webp,51738,,,2026-07-06T19:07:00
285,ATIV CACHOS SALON LINE SOS 300ML MEL E OLEO ARGAN,7898524346277,12.98,13.04,13.2,13.29,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7898524346277.webp,26386,,,2026-07-06T19:07:00
286,ATIV CACHOS SALON LINE SOS 300ML OLEO COCO,7898524348639,12.98,13.04,13.2,13.29,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7898524348639.webp,26970,,,2026-07-06T19:07:00
287,ATUM COQUEIRO 170G PEDACO OLEO,7896009301100,9.94,9.99,10.11,10.18,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896009301100.webp,49638,,,2026-07-06T19:07:00
288,ATUM COQUEIRO 170G RALADO NATURAL,7896009301124,7.26,7.3,7.38,7.43,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896009301124.webp,53678,,,2026-07-06T19:07:00
289,ATUM COQUEIRO 170G RALADO OLEO,7896009301131,7.26,7.3,7.38,7.43,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896009301131.webp,61588,,,2026-07-06T19:07:00
290,ATUM COQUEIRO 170G SOLIDO OLEO,7896009301155,9.85,9.9,10.02,10.09,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896009301155.webp,52462,,,2026-07-06T19:07:00
291,ATUM PESCADOR 140G RALADO OLEO,7896114990190,5.96,5.99,6.06,6.1,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\spani\imagens\7896114990190.webp,35704,,,2026-07-06T19:07:00
292,AVEIA APTI 150G FLOCOS FINOS,7896327501879,2.68,2.69,2.73,2.74,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896327501879.webp,61162,,,2026-07-06T19:07:00
293,AVEIA APTI 150G FLOCOS REG,7896327501855,2.68,2.69,2.73,2.74,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896327501855.webp,61162,,,2026-07-06T19:07:00
294,AVEIA ITALAC 165G FLOCOS REGULAR,7898080642936,3.08,3.1,3.13,3.15,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:cosmos.bluesoft.com.br,https://cosmos.bluesoft.com.br/produtos/7898080642936-far-aveia-italac-flocos-165g,https://cdn-cosmos.bluesoft.com.br/products/7898080642936,FAR.AVEIA ITALAC FLOCOS 165G - GTIN/EAN/UPC 7898080642936 - Cadastro de  Produto com Tributação e NCM - Cosmos,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7898080642936.webp,28954,303,500,2026-07-06T21:05:58
295,AVEIA NESTLE 170G FLOCOS,7891000102640,3.42,3.44,3.48,3.5,OK_DESTRO,OK_AUTO,Imagem encontrada na Destro com boa correspondencia de nome.,destromacro.com.br,https://www.destromacro.com.br/produto/aveia-nestle-flocos-regulares-nestle-170g-71597,https://destro.fbitsstatic.net/img/p/aveia-nestle-flocos-regulares-nestle-170g-71597/258133-1.jpg?w=900&h=900&v=202501231555&qs=ignore,Aveia Nestlé Flocos Regulares Nestlé 170g,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7891000102640.webp,55116,900,900,2026-07-06T19:07:12
296,AVEIA NESTLE 170G FLOCOS FINOS,7891000102626,3.42,3.44,3.48,3.5,OK_DESTRO,OK_AUTO,Imagem encontrada na Destro com boa correspondencia de nome.,destromacro.com.br,https://www.destromacro.com.br/produto/aveia-em-flocos-finos-nestle-170g-71596,https://destro.fbitsstatic.net/img/p/aveia-em-flocos-finos-nestle-170g-71596/258132-1.jpg?w=900&h=900&v=202501231555&qs=ignore,Aveia em Flocos Finos Nestlé 170g,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7891000102626.webp,53248,900,900,2026-07-06T19:07:12
297,AVEIA NESTLE L 170G P 150G FLOCOS FINOS,7891000370643,3.13,3.15,3.18,3.21,REVISAR_FONTE_EXTERNA,PENDENTE,Imagem veio de fonte externa (world.openfoodfacts.org); revisar uso e correspondencia.,world.openfoodfacts.org,https://world.openfoodfacts.org/product/7891000370643,https://images.openfoodfacts.org/images/products/789/100/037/0643/front_en.3.400.jpg,Aveia flocos finos,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7891000370643.webp,28582,333,400,2026-07-06T19:07:17
298,AVEIA QUAKER 165G FLOCOS FINOS,7892840815769,4.43,4.45,4.51,4.54,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7892840815769.webp,65438,,,2026-07-06T19:07:09
299,AVEIA QUAKER 165G FLOCOS REG.,7892840815752,4.43,4.45,4.51,4.54,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7892840815752.webp,66514,,,2026-07-06T19:07:09
300,AVEIA YOKI 170G FLOCOS FINOS,7891095028337,3.36,3.38,3.42,3.44,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891095028337.webp,60780,,,2026-07-06T19:07:09
301,AVEIA YOKI 170G FLOCOS REG.,7891095028344,3.36,3.38,3.42,3.44,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891095028344.webp,62938,,,2026-07-06T19:07:09
302,AZEITE ANDORINHA 500ML. E.VG VD,5601216120152,23.78,23.9,24.18,24.35,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\5601216120152.webp,21426,,,2026-07-06T19:07:09
303,AZEITE COCINERO 500ML E.VG PET,7790070218216,21.88,21.99,22.25,22.41,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\spani\imagens\7790070218216.webp,8192,,,2026-07-06T19:07:09
304,AZEITE DENDE CEPERA 100ML,7896025800106,8.25,8.29,8.39,8.45,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896025800106.webp,28644,,,2026-07-06T19:07:09
305,AZEITE FONTOLIVA 500ML E.VG.VD,8424536936398,18.7,18.79,19.02,19.15,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:cosmos.bluesoft.com.br,https://cosmos.bluesoft.com.br/produtos/8424536936398-azeite-de-oliva-extra-virgem-espanhol-fontoliva-vidro-500ml,https://cdn-cosmos.bluesoft.com.br/products/8424536936398,AZEITE DE OLIVA EXTRA VIRGEM ESPANHOL FONTOLIVA VIDRO 500ML - GTIN/EAN/UPC  8424536936398 - Cadastro de Produto com Tributação e NCM - Cosmos,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\8424536936398.webp,32500,1200,1200,2026-07-06T21:05:58
306,AZEITE GALLO 500ML VD TP UNICO,5601252106103,36.87,37.05,37.5,37.75,EXISTENTE_GLOBAL,PENDENTE,Imagem ja existia no banco local; download descartado.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\5601252106103.webp,23188,,,2026-07-06T19:07:10
307,AZEITE V.FERTIL PREMIUM 500ML ARGENTINO,7896272009246,28.85,28.99,29.34,29.54,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:cosmos.bluesoft.com.br,https://cosmos.bluesoft.com.br/produtos/7896272009246-azeite-de-oliva-extra-virgem-argentino-vale-fertil-premium-vidro-500ml,https://cdn-cosmos.bluesoft.com.br/products/7896272009246,AZEITE DE OLIVA EXTRA VIRGEM ARGENTINO VALE FÉRTIL PREMIUM VIDRO 500ML -  GTIN/EAN/UPC 7896272009246 - Cadastro de Produto com Tributação e NCM -  Cosmos,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896272009246.webp,15144,1200,1200,2026-07-06T21:05:58
308,AZEITE VILA FLOR 500ML E.VG VD,5601941002075,28.31,28.45,28.79,28.99,REVISAR_FONTE_EXTERNA,PENDENTE,Imagem veio de fonte externa (world.openfoodfacts.org); revisar uso e correspondencia.,world.openfoodfacts.org,https://world.openfoodfacts.org/product/5601941002075,https://images.openfoodfacts.org/images/products/560/194/100/2075/front_pt.3.400.jpg,Azeite De Oliva Extra Virgem,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\5601941002075.webp,10394,134,400,2026-07-06T19:07:19
309,AZEITONA LA PREFERIDA 500G VERDE C/C. VD,7891089100209,10.44,10.49,10.62,10.69,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:www.perolaon.com.br,https://www.perolaon.com.br/azeitona-verde-la-preferida-vidro-500g-38369-1,https://perola.agilecdn.com.br/7891089100209.jpg,AZEITONA VERDE LA PREFERIDA VIDRO 500G | Pérola Online,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7891089100209.webp,32964,1000,1000,2026-07-06T21:05:58
310,AZEITONA LA VIOLETERA 200G VERDE C/C.VD,7891089100025,8.25,8.29,8.39,8.45,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:cosmos.bluesoft.com.br,https://cosmos.bluesoft.com.br/produtos/7891089100025-azeitona-verde-em-conserva-inteira-com-caroco-la-violetera-vidro-200g,https://cdn-cosmos.bluesoft.com.br/products/7891089100025,AZEITONA VERDE EM CONSERVA INTEIRA COM CAROÇO LA VIOLETERA VIDRO 200G -  GTIN/EAN/UPC 7891089100025 - Cadastro de Produto com Tributação e NCM -  Cosmos,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7891089100025.webp,35576,1200,1200,2026-07-06T21:05:58
311,AZEITONA LA VIOLETERA 160G VERDE. FAT.SC,7891089018948,6.16,6.19,6.26,6.31,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:pelotas.supernicolini.com.br,https://pelotas.supernicolini.com.br/produto/7891089018948/,https://pelotas.supernicolini.com.br/wp-content/uploads/2020/04/7891089018948.jpg,AZEITONA LA VIOLETERA FAT SHT 160GR – SUPERMERCADO NICOLINI ON-LINE,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7891089018948.webp,9116,380,380,2026-07-06T21:05:58
312,AZEITONA LA VIOLETERA MENOS SODIO 500G VERDE C/C V,7891089451776,19.89,19.99,20.23,20.37,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:loja.lavioletera.com.br,https://loja.lavioletera.com.br/produto/azeitona-verde-com-caroco-menos-sodio-la-violetera-500g?srsltid=AfmBOoofqiQhaaGUjRn2960yLY_FOnNWG3n-TGJA2pmKwF4lwW49HSY_,https://loja.lavioletera.com.br/img/files/ProductsImages/66a2682c1aa65.webp,Azeitona Verde com caroço Menos Sódio La Violetera 500g,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7891089451776.webp,48078,1267,1975,2026-07-06T21:05:58
313,AZEITONA RIVOLI 120G PRETA FAT DOY PACK,7896183000370,5.17,5.2,5.26,5.29,SEM_IMAGEM,PENDENTE,Nenhuma imagem encontrada.,,,,,,0,0,0,2026-07-06T19:07:23
314,AZEITONA RIVOLI 120G VERDE FAT DOY PACK,7896183000325,2.88,2.89,2.93,2.95,OK_SERPER,OK_AUTO,Imagem encontrada via Serper com alta correspondencia textual.,serper:cosmos.bluesoft.com.br,https://cosmos.bluesoft.com.br/produtos/7896183000325-azeit-rivoli-verde-fat-sache-120gr,https://cdn-cosmos.bluesoft.com.br/products/7896183000325,AZEIT.RIVOLI VERDE FAT.SACHE 120GR - GTIN/EAN/UPC 7896183000325 - Cadastro  de Produto com Tributação e NCM - Cosmos,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896183000325.webp,35972,1200,1200,2026-07-06T21:05:58
